Packet 142: delay_time=253ms, response=PSTART 27-02-2023 20:10:29 PSTOP
Packet 143: delay_time=246ms, response=PSTART 27-02-2023 20:10:29 PSTOP
Packet 144: delay_time=246ms, response=PSTART 27-02-2023 20:10:29 PSTOP
Packet 145: delay_time=245ms, response=PSTART 27-02-2023 20:10:30 PSTOP
Packet 146: delay_time=244ms, response=PSTART 27-02-2023 20:10:30 PSTOP
Packet 147: delay_time=243ms, response=PSTART 27-02-2023 20:10:30 PSTOP
Packet 148: delay_time=253ms, response=PSTART 27-02-2023 20:10:30 PSTOP
Packet 149: delay_time=243ms, response=PSTART 27-02-2023 20:10:31 PSTOP
Packet 150: delay_time=247ms, response=PSTART 27-02-2023 20:10:31 PSTOP
Packet 151: delay_time=253ms, response=PSTART 27-02-2023 20:10:31 PSTOP
Packet 152: delay_time=248ms, response=PSTART 27-02-2023 20:10:31 PSTOP
Packet 153: delay_time=246ms, response=PSTART 27-02-2023 20:10:32 PSTOP
Packet 154: delay_time=248ms, response=PSTART 27-02-2023 20:10:32 PSTOP
Packet 155: delay_time=249ms, response=PSTART 27-02-2023 20:10:32 PSTOP
Packet 156: delay_time=250ms, response=PSTART 27-02-2023 20:10:32 PSTOP
Packet 157: delay_time=247ms, response=PSTART 27-02-2023 20:10:33 PSTOP
Packet 158: delay_time=246ms, response=PSTART 27-02-2023 20:10:33 PSTOP
Packet 159: delay_time=245ms, response=PSTART 27-02-2023 20:10:33 PSTOP
Packet 160: delay_time=251ms, response=PSTART 27-02-2023 20:10:33 PSTOP
Packet 161: delay_time=249ms, response=PSTART 27-02-2023 20:10:34 PSTOP
Packet 162: delay_time=247ms, response=PSTART 27-02-2023 20:10:34 PSTOP
Packet 163: delay_time=250ms, response=PSTART 27-02-2023 20:10:34 PSTOP
Packet 164: delay_time=243ms, response=PSTART 27-02-2023 20:10:34 PSTOP
Packet 165: delay_time=251ms, response=PSTART 27-02-2023 20:10:35 PSTOP
Packet 166: delay_time=245ms, response=PSTART 27-02-2023 20:10:35 PSTOP
Packet 167: delay_time=247ms, response=PSTART 27-02-2023 20:10:35 PSTOP
Packet 168: delay_time=244ms, response=PSTART 27-02-2023 20:10:35 PSTOP
Packet 169: delay_time=250ms, response=PSTART 27-02-2023 20:10:36 PSTOP
Packet 170: delay_time=246ms, response=PSTART 27-02-2023 20:10:36 PSTOP
Packet 171: delay_time=247ms, response=PSTART 27-02-2023 20:10:36 PSTOP
Packet 172: delay_time=262ms, response=PSTART 27-02-2023 20:10:36 PSTOP
Packet 173: delay_time=244ms, response=PSTART 27-02-2023 20:10:37 PSTOP
Packet 174: delay_time=247ms, response=PSTART 27-02-2023 20:10:37 PSTOP
Packet 175: delay_time=252ms, response=PSTART 27-02-2023 20:10:37 PSTOP
Packet 176: delay_time=248ms, response=PSTART 27-02-2023 20:10:37 PSTOP
Packet 177: delay_time=250ms, response=PSTART 27-02-2023 20:10:38 PSTOP
Packet 178: delay_time=250ms, response=PSTART 27-02-2023 20:10:38 PSTOP
Packet 179: delay_time=251ms, response=PSTART 27-02-2023 20:10:38 PSTOP
Packet 180: delay_time=247ms, response=PSTART 27-02-2023 20:10:38 PSTOP
Packet 181: delay_time=253ms, response=PSTART 27-02-2023 20:10:39 PSTOP
Packet 182: delay_time=246ms, response=PSTART 27-02-2023 20:10:39 PSTOP
Packet 183: delay_time=256ms, response=PSTART 27-02-2023 20:10:39 PSTOP
Packet 184: delay_time=246ms, response=PSTART 27-02-2023 20:10:39 PSTOP
Packet 185: delay_time=246ms, response=PSTART 27-02-2023 20:10:40 PSTOP
Packet 186: delay_time=234ms, response=PSTART 27-02-2023 20:10:40 PSTOP
Packet 187: delay_time=249ms, response=PSTART 27-02-2023 20:10:40 PSTOP
Packet 188: delay_time=247ms, response=PSTART 27-02-2023 20:10:40 PSTOP
Packet 189: delay_time=238ms, response=PSTART 27-02-2023 20:10:41 PSTOP
Packet 190: delay_time=250ms, response=PSTART 27-02-2023 20:10:41 PSTOP
Packet 191: delay_time=249ms, response=PSTART 27-02-2023 20:10:41 PSTOP
Packet 192: delay_time=239ms, response=PSTART 27-02-2023 20:10:41 PSTOP
Packet 193: delay_time=250ms, response=PSTART 27-02-2023 20:10:42 PSTOP
Packet 194: delay_time=250ms, response=PSTART 27-02-2023 20:10:42 PSTOP
Packet 195: delay_time=249ms, response=PSTART 27-02-2023 20:10:42 PSTOP
Packet 196: delay_time=242ms, response=PSTART 27-02-2023 20:10:42 PSTOP
Packet 197: delay_time=241ms, response=PSTART 27-02-2023 20:10:43 PSTOP
Packet 198: delay_time=248ms, response=PSTART 27-02-2023 20:10:43 PSTOP
Packet 199: delay_time=257ms, response=PSTART 27-02-2023 20:10:43 PSTOP
Packet 200: delay_time=240ms, response=PSTART 27-02-2023 20:10:43 PSTOP
Packet 201: delay_time=256ms, response=PSTART 27-02-2023 20:10:44 PSTOP
Packet 202: delay_time=244ms, response=PSTART 27-02-2023 20:10:44 PSTOP
Packet 203: delay_time=248ms, response=PSTART 27-02-2023 20:10:44 PSTOP
Packet 204: delay_time=240ms, response=PSTART 27-02-2023 20:10:44 PSTOP
Packet 205: delay_time=251ms, response=PSTART 27-02-2023 20:10:45 PSTOP
Packet 206: delay_time=236ms, response=PSTART 27-02-2023 20:10:45 PSTOP
Packet 207: delay_time=258ms, response=PSTART 27-02-2023 20:10:45 PSTOP
Packet 208: delay_time=242ms, response=PSTART 27-02-2023 20:10:45 PSTOP
Packet 209: delay_time=255ms, response=PSTART 27-02-2023 20:10:46 PSTOP
Packet 210: delay_time=235ms, response=PSTART 27-02-2023 20:10:46 PSTOP
Packet 211: delay_time=259ms, response=PSTART 27-02-2023 20:10:46 PSTOP
Packet 212: delay_time=248ms, response=PSTART 27-02-2023 20:10:46 PSTOP
Packet 213: delay_time=243ms, response=PSTART 27-02-2023 20:10:47 PSTOP
Packet 214: delay_time=237ms, response=PSTART 27-02-2023 20:10:47 PSTOP
Packet 215: delay_time=256ms, response=PSTART 27-02-2023 20:10:47 PSTOP
Packet 216: delay_time=240ms, response=PSTART 27-02-2023 20:10:47 PSTOP
Packet 217: delay_time=260ms, response=PSTART 27-02-2023 20:10:48 PSTOP
Packet 218: delay_time=245ms, response=PSTART 27-02-2023 20:10:48 PSTOP
Packet 219: delay_time=246ms, response=PSTART 27-02-2023 20:10:48 PSTOP
Packet 220: delay_time=235ms, response=PSTART 27-02-2023 20:10:48 PSTOP
Packet 221: delay_time=259ms, response=PSTART 27-02-2023 20:10:48 PSTOP
Packet 222: delay_time=237ms, response=PSTART 27-02-2023 20:10:49 PSTOP
Packet 223: delay_time=246ms, response=PSTART 27-02-2023 20:10:49 PSTOP
Packet 224: delay_time=255ms, response=PSTART 27-02-2023 20:10:49 PSTOP
Packet 225: delay_time=250ms, response=PSTART 27-02-2023 20:10:49 PSTOP
Packet 226: delay_time=254ms, response=PSTART 27-02-2023 20:10:50 PSTOP
Packet 227: delay_time=240ms, response=PSTART 27-02-2023 20:10:50 PSTOP
Packet 228: delay_time=240ms, response=PSTART 27-02-2023 20:10:50 PSTOP
Packet 229: delay_time=254ms, response=PSTART 27-02-2023 20:10:50 PSTOP
Packet 230: delay_time=243ms, response=PSTART 27-02-2023 20:10:51 PSTOP
Packet 231: delay_time=256ms, response=PSTART 27-02-2023 20:10:51 PSTOP
Packet 232: delay_time=243ms, response=PSTART 27-02-2023 20:10:51 PSTOP
Packet 233: delay_time=256ms, response=PSTART 27-02-2023 20:10:51 PSTOP
Packet 234: delay_time=249ms, response=PSTART 27-02-2023 20:10:52 PSTOP
Packet 235: delay_time=244ms, response=PSTART 27-02-2023 20:10:52 PSTOP
Packet 236: delay_time=244ms, response=PSTART 27-02-2023 20:10:52 PSTOP
Packet 237: delay_time=256ms, response=PSTART 27-02-2023 20:10:52 PSTOP
Packet 238: delay_time=236ms, response=PSTART 27-02-2023 20:10:53 PSTOP
